Name,URL,catalogID
Colorado River Below Big Bend Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4372,4372
Colorado River Below Davis Dam Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (1),https://data.usbr.gov/catalog/4381,4381
Colorado River Below Interstate Bridge Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4373,4373
Colorado River Below Mcintyre Park Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4374,4374
Colorado River Below Oxbow Bridge Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4375,4375
Lake Havasu Parker Dam and Powerplant Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (5),https://data.usbr.gov/catalog/4371,4371
Lake Mead Hoover Dam and Powerplant Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (4),https://data.usbr.gov/catalog/4370,4370
Lake Mohave Davis Dam and Powerplant Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (5),https://data.usbr.gov/catalog/4369,4369
Nambe Falls Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (7),https://data.usbr.gov/catalog/4367,4367
Platoro Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (3),https://data.usbr.gov/catalog/4368,4368
Fruitgrowers Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (8),https://data.usbr.gov/catalog/2400,2400
Paonia Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (8),https://data.usbr.gov/catalog/2401,2401
Ridgway Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (9),https://data.usbr.gov/catalog/2417,2417
Silver Jack Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (8),https://data.usbr.gov/catalog/2445,2445
Lost Lake Water Operations Monitoring Data from Upper Colorado Hydrologic Database (7),https://data.usbr.gov/catalog/4061,4061
Trial Lake Water Operations Monitoring Data from Upper Colorado Hydrologic Database (7),https://data.usbr.gov/catalog/4060,4060
Washington Lake Water Operations Monitoring Data from Upper Colorado Hydrologic Database (7),https://data.usbr.gov/catalog/4059,4059
Avalon Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (5),https://data.usbr.gov/catalog/2237,2237
Big Sandy Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (9),https://data.usbr.gov/catalog/2247,2247
Blue Mesa Reservoir Dam and Powerplant Water Operations Monitoring Data from Upper Colorado Hydrologic Database (16),https://data.usbr.gov/catalog/2249,2249
Brantley Lake and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (9),https://data.usbr.gov/catalog/2252,2252
Caballo Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (9),https://data.usbr.gov/catalog/2256,2256
Causey Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (10),https://data.usbr.gov/catalog/2259,2259
Crystal Reservoir Dam and Powerplant Water Operations Monitoring Data from Upper Colorado Hydrologic Database (17),https://data.usbr.gov/catalog/2278,2278
Currant Creek Reservoir and Dam Water Operations Monitoring Data from Upper Colorado Hydrologic Database (12),https://data.usbr.gov/catalog/2280,2280
Deer Creek Reservoir Dam and Powerplant Water Operations Monitoring Data from Upper Colorado Hydrologic Database (14),https://data.usbr.gov/catalog/2284,2284
